 drug_name,age_group,warning,severity,alternative,note
Metoclopramide Variant35,Pediatric,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Ciprofloxacin Variant36,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant37,Adult,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Promethazine Variant38,All,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Metoclopramide Variant39,Pediatric,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Dexamethasone Variant40,Pediatric,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant41,<2 years,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant42,Pediatric,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant43,All,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant44,Elderly,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant45,Pediatric,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Prednisone Variant46,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant47,Pediatric,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Chloramphenicol Variant48,All,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Metoclopramide Variant49,<18,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Promethazine Variant50,Elderly,Risk of fatal respiratory depression.,Medium,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant51,Elderly,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant52,Neonates,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Aspirin Variant53,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant54,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Lorazepam Variant55,<2 years,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant56,Pediatric,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant57,<2 years,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant58,Elderly,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant59,<18,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Codeine Variant60,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Lorazepam Variant61,Neonates,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant62,Adult,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant63,Pediatric,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Lorazepam Variant64,Adult,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant65,<18,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant66,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Codeine Variant67,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant68,<2 years,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant69,<18,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Prednisone Variant70,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant71,Pediatric,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Aspirin Variant72,Pediatric,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant73,Adult,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant74,Elderly,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant75,All,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant76,All,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant77,All,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Hydroxyzine Variant78,<18,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant79,<18,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Codeine Variant80,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Dexamethasone Variant81,<2 years,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Chloramphenicol Variant82,Adult,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant83,<2 years,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant84,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant85,<18,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Dexamethasone Variant86,All,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant87,<18,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant88,Neonates,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Prednisone Variant89,<2 years,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant90,Neonates,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant91,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant92,<2 years,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant93,<2 years,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant94,<18,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Prednisone Variant95,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant96,Pediatric,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Promethazine Variant97,All,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Promethazine Variant98,Neonates,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant99,<18,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant0,Neonates,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant1,Neonates,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant2,Neonates,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant3,Adult,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant4,Neonates,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant5,<2 years,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant6,All,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant7,Adult,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Metoclopramide Variant8,Pediatric,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Ciprofloxacin Variant9,Pediatric,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant10,Pediatric,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant11,All,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant12,<18,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant13,<18,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant14,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Metoclopramide Variant15,<18,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Prednisone Variant16,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant17,Elderly,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant18,All,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Codeine Variant19,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Codeine Variant20,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Aspirin Variant21,Pediatric,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant22,<2 years,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant23,Neonates,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant24,All,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant25,Elderly,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant26,All,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant27,<2 years,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant28,<2 years,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant29,Adult,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant30,Elderly,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Chloramphenicol Variant31,Neonates,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Prednisone Variant32,Elderly,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant33,Neonates,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant34,All,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant35,All,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant36,All,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant37,Neonates,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant38,Elderly,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Lorazepam Variant39,Neonates,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant40,Pediatric,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant41,Neonates,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant42,Adult,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant43,Neonates,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant44,<2 years,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant45,Pediatric,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant46,Neonates,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant47,Pediatric,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
